Número;Fecha de la reservación;Mes de reservación;País;Mes de reserva;Días de Anticipación;Fecha de entrada;Fecha de salida;Días;Vuelo;Carro;Lugar
1;10/8/2023;Agosto;Israel;Enero;145;2/1/2024;17/1/2024;15;-;Rav4;SJO
2;10/8/2023;Agosto;Israel;Enero;148;5/1/2024;15/1/2024;10;-;Rav4;LIR
3;24/10/2023;Setiembre;Alemania;Enero;76;8/1/2024;28/1/2024;20;-;Grand Vitara;DORA
4;10/11/2023;Noviembre;Estados Unidos;Enero;60;9/1/2024;17/1/2024;8;NK1309;Rav4;SJO
5;10/10/2023;Octubre;Estados Unidos;Enero;94;12/1/2024;19/1/2024;7;AV663;Vitara;SJO
6;11/1/2024;Enero;Estados Unidos;Enero;1;12/1/2024;15/1/2024;3;-;Vitara;SJO
7;23/10/2023;Octubre;Suiza;Enero;82;13/1/2024;24/1/2024;11;DM1633;ASX;SJO
8;22/10/2023;Octubre;Estados Unidos;Enero;83;13/1/2024;20/1/2024;7;DL1937;Terios;SJO
9;30/11/2023;Noviembre;Austria;Enero;46;15/1/2024;5/2/2024;21;-;Terios;SJO
10;5/12/2023;Diciembre;Canadá ;Enero;41;15/1/2024;26/1/2024;11;-;Vitara;SJO
11;4/12/2023;Diciembre;Estados Unidos;Enero;43;16/1/2024;23/1/2024;7;-;Rav4;SJO
12;17/10/2023;Diciembre;Estados Unidos;Enero;92;17/1/2024;1/2/2024;15;-;Vitara;SJO
13;28/7/2023;Julio;España;Enero;174;18/1/2024;1/2/2024;14;DM1633;Grand Vitara;SJO
14;30/11/2023;Noviembre;Polonia;Enero;49;18/1/2024;25/1/2024;7;VOC4093;Rav4;SJO
15;12/11/2023;Noviembre;Portugal;Enero;70;21/1/2024;1/2/2024;11;-;Rav4;SJO
16;7/12/2023;Diciembre;Canadá ;Enero;45;21/1/2024;3/2/2024;13;TS196;Vitara;SJO
17;9/12/2023;Diciembre;Estados Unidos;Enero;43;21/1/2024;26/1/2024;5;B639;Terios;SJO
18;11/1/2024;Enero;México;Enero;11;22/1/2024;28/1/2024;6;CM851;Chery;SJO
19;13/11/2023;Noviembre;Estados Unidos;Enero;71;23/1/2024;7/2/2024;15;-;Rav4;SJO
20;12/11/2023;Noviembre;Costa Rica;Enero;73;24/1/2024;7/2/2024;14;-;Montero ;SJO
21;20/1/2024;Enero;Estados Unidos;Enero;5;25/1/2024;31/1/2024;6;-;ASX;SJO
22;6/12/2023;Diciembre;Reino Unido;Enero;52;27/1/2024;12/2/2024;16;-;Vitara;SJO
23;14/10/2023;Octubre;Estados Unidos;Enero;108;30/1/2024;7/2/2024;8;-;Terios;SJO
24;24/10/2023;Octubre;Perú;Febrero;100;1/2/2024;13/3/2024;41;-;ASX;SJO
25;13/12/2023;Diciembre;Canadá ;Febrero;51;2/2/2024;11/2/2024;9;-;Vitara;SJO
26;2/9/2023;Setiembre;República Checa;Febrero;153;2/2/2024;17/2/2024;15;KL0719;Grand Vitara;SJO
27;2/9/2023;Setiembre;República Checa;Febrero;153;2/2/2024;17/2/2024;15;KL0719;Grand Vitara;SJO
28;29/1/2024;Enero;Costa Rica;Febrero;5;3/2/2024;6/2/2024;3;-;Rav4;SJO
29;16/1/2024;Enero;Estados Unidos;Febrero;18;3/2/2024;11/2/2024;8;-;Chery;SJO
30;20/9/2023;Setiembre;Estados Unidos;Febrero;137;4/2/2024;20/2/2024;16;-;Terios;SJO
31;3/12/2023;Diciembre;República Checa;Febrero;63;4/2/2024;16/2/2024;12;NK335;Prado;SJO
32;7/11/2023;Noviembre;Francia;Febrero;89;4/2/2024;17/2/2024;13;-;ASX;SJO
33;11/1/2024;Enero;Estados Unidos;Febrero;26;6/2/2024;13/2/2024;7;B639;Vitara;SJO
34;5/2/2024;Febrero;Ecuador;Febrero;3;8/2/2024;13/2/2024;5;AV698;Rav4;SJO
35;19/1/2024;Enero;Canadá ;Febrero;20;8/2/2024;17/2/2024;9;TS196;Montero ;SJO
36;28/9/2023;Setiembre;Estados Unidos;Febrero;134;9/2/2024;21/2/2024;12;-;Vitara;SJO
37;20/12/2023;Diciembre;Israel;Febrero;52;10/2/2024;23/2/2024;13;;Fortuner;SJO
38;9/2/2024;Febrero;Turquía;Febrero;1;10/2/2024;13/2/2024;3;AV646;Terios;SJO
39;5/1/2024;Enero;Canadá ;Febrero;37;11/2/2024;19/2/2024;8;-;Terios;SJO
40;13/12/2023;Diciembre;España;Febrero;60;11/2/2024;2/3/2024;20;IB6317;Rav4;SJO
41;22/1/2024;Enero;Canadá ;Febrero;22;13/2/2024;19/2/2024;6;RZ1095;Chery;SJO
42;25/11/2023;Noviembre;Perú;Febrero;80;13/2/2024;18/2/2024;5;AV638;Terios;SJO
43;3/1/2024;Enero;Brasil;Febrero;42;14/2/2024;24/2/2024;10;CM818;Vitara;SJO
44;12/11/2023;Noviembre;Francia;Febrero;94;14/2/2024;20/2/2024;6;-;Rav4;SJO
45;8/2/2024;Febrero;Israel;Febrero;6;14/2/2024;1/3/2024;16;-;Rav4;SJO
46;13/2/2024;Febrero;Bélgica;Febrero;2;15/2/2024;18/2/2024;3;-;Vitara;SJO
47;1/2/2024;Febrero;Australia;Febrero;14;15/2/2024;29/2/2024;14;-;Terios;SJO
48;29/12/2023;Diciembre;Israel;Febrero;50;17/2/2024;7/4/2024;50;-;Prado;SJO
49;10/1/2024;Enero;Polonia;Febrero;39;18/2/2024;1/3/2024;12;AF0428;Grand Vitara;SJO
50;14/9/2023;Setiembre;Suiza;Febrero;157;18/2/2024;26/2/2024;8;AV196;Terios;SJO
51;25/9/2023;Setiembre;Francia;Febrero;146;18/2/2024;29/2/2024;11;IB6317;Vitara;SJO
52;26/9/2023;Setiembre;NR Israel ;Febrero;146;19/2/2024;5/3/2024;15;AV655;Montero ;SJO
53;23/11/2023;Noviembre;Estados Unidos;Febrero;88;19/2/2024;28/2/2024;9;-;ASX;SJO
54;9/12/2023;Diciembre;España;Febrero;74;21/2/2024;5/3/2024;13;EVE857;Grand Vitara;SJO
55;7/2/2024;Febrero;Malta;Febrero;13;20/2/2024;25/2/2024;5;-;Chery;SJO
56;18/2/2024;Febrero;Estados Unidos;Febrero;4;22/2/2024;28/2/2024;6;NK1755;Chery;SJO
57;8/1/2024;Enero;Israel;Febrero;46;23/2/2024;29/2/2024;6;-;Vitara;SJO
58;21/2/2024;Febrero;Estados Unidos;Febrero;2;23/2/2024;26/2/2024;3;-;Rav4;SJO
59;24/1/2024;Enero;Estados Unidos;Febrero;31;24/2/2024;28/2/2024;4;-;Terios;SJO
60;28/1/2024;Enero;España;Febrero;27;24/2/2024;5/3/2024;10;EVE857;Vitara;SJO
61;8/10/2023;Octubre;Austria;Febrero;140;25/2/2024;11/3/2024;15;-;Terios;SJO
62;31/1/2024;Enero;España;Febrero;27;27/2/2024;19/3/2024;21;CM779;Terios;SJO
